ranking,score,movie_name,score_num
161,8.5,釜山行,784127人评价
162,8.8,达拉斯买家俱乐部,318095人评价
163,8.6,真爱至上,515806人评价
164,8.8,荒蛮故事,291085人评价
165,8.6,东邪西毒,428435人评价
166,8.6,贫民窟的百万富翁,564898人评价
167,8.6,记忆碎片,433795人评价
168,8.7,爆裂鼓手,389912人评价
169,8.4,你的名字。,963010人评价
170,8.6,黑天鹅,626900人评价
171,8.6,花样年华,399396人评价
172,8.9,卢旺达饭店,202968人评价
173,8.7,哈利·波特与阿兹卡班的囚徒,382295人评价
174,9.2,忠犬八公物语,128960人评价
175,8.7,黑客帝国3：矩阵革命,290751人评价
176,8.7,模仿游戏,425392人评价
177,8.7,头脑特工队,410948人评价
178,8.8,一个叫欧维的男人决定去死,253886人评价
179,8.7,雨人,304778人评价
180,8.9,你看起来好像很好吃,243284人评价
181,8.9,未麻的部屋,183356人评价
182,8.6,哈利·波特与密室,401397人评价
183,8.7,无敌破坏王,374519人评价
184,8.5,恋恋笔记本,465229人评价
185,8.6,冰川时代,449873人评价
186,8.8,海街日记,273167人评价
187,8.8,新世界,224200人评价
188,8.6,海边的曼彻斯特,348098人评价
189,8.7,二十二,210016人评价
190,8.9,虎口脱险,167001人评价
191,8.8,房间,280881人评价
192,8.5,恐怖游轮,555790人评价
193,9.0,惊魂记,160219人评价
194,8.6,魔女宅急便,330077人评价
195,8.6,奇迹男孩,408262人评价
196,8.6,人工智能,309852人评价
197,9.0,雨中曲,145611人评价
198,8.5,疯狂的石头,563038人评价
199,8.8,罗生门,214758人评价
200,9.1,海洋,128863人评价
201,8.8,爱在午夜降临前,222052人评价
202,8.7,小偷家族,573786人评价
203,8.7,终结者2：审判日,248082人评价
204,8.4,初恋这件小事,751377人评价
205,8.8,魂断蓝桥,195852人评价
206,8.8,燃情岁月,211794人评价
207,8.8,可可西里,205614人评价
208,8.6,穿越时空的少女,290956人评价
209,8.8,绿里奇迹,187959人评价
210,8.8,2001太空漫游,195730人评价
211,8.8,牯岭街少年杀人事件,180116人评价
212,8.5,完美陌生人,395526人评价
213,9.3,城市之光,86540人评价
214,8.6,无耻混蛋,347776人评价
215,8.5,阿飞正传,353289人评价
216,8.6,新龙门客栈,311972人评价
217,8.4,源代码,597028人评价
218,8.5,香水,413851人评价
219,8.6,谍影重重2,256433人评价
220,8.5,青蛇,359721人评价
221,8.9,地球上的星星,147075人评价
222,8.6,谍影重重,306512人评价
223,8.6,战争之王,258041人评价
224,8.7,血钻,248596人评价
225,8.5,猜火车,336055人评价
226,8.4,色，戒,472202人评价
227,8.6,遗愿清单,258221人评价
228,8.7,大佛普拉斯,265281人评价
229,8.6,疯狂的麦克斯4：狂暴之路,361482人评价
230,8.8,步履不停,176797人评价
231,8.5,彗星来的那一夜,351656人评价
232,8.6,朗读者,366693人评价
233,8.7,浪潮,200329人评价
234,8.4,小萝莉的猴神大叔,347954人评价
235,8.5,再次出发之纽约遇见你,297310人评价
236,8.8,聚焦,205537人评价
237,8.3,驴得水,649474人评价
238,9.2,东京物语,89248人评价
239,8.9,追随,129285人评价
240,8.7,一次别离,193756人评价
241,8.5,九品芝麻官,366343人评价
242,8.8,千钧一发,169378人评价
243,9.0,我爱你,107271人评价
244,8.7,黑鹰坠落,205741人评价
245,8.5,哈利·波特与火焰杯,339034人评价
246,8.9,四个春天,115766人评价
247,8.6,网络谜踪,373607人评价
248,8.5,发条橙,276504人评价
249,8.6,E.T. 外星人,254739人评价
250,8.6,黑客帝国2：重装上阵,250099人评价
